"","geoid","county","state","variable","value","est_year","n_juv_pop_cou","n_mu18_jf_cou","n_fu18_jf_cou","n_u18_jf_cou","ratio","under_18_years","x18_to_24_years","x18_years_and_over","median_age","age25up","pct_u18_in_jf","pct_tpop_u18"
"1","41001","Baker County","Oregon","POP",16109,2010,0,0,0,0,0,3197,984,12927,47.9,11943,0,24.7311827956989
"2","41013","Crook County","Oregon","POP",20884,2010,0,0,0,0,0,4823,1518,19581,47,18063,0,24.6310198661968
"3","41015","Curry County","Oregon","POP",22378,2010,0,0,0,0,0,3247,1060,19678,57.1,18618,0,16.5006606362435
"4","41021","Gilliam County","Oregon","POP",1882,2010,0,0,0,0,0,365,113,1547,50.8,1434,0,23.5940530058177
"5","41023","Grant County","Oregon","POP",7464,2010,0,0,0,0,0,1268,392,5931,52.3,5539,0,21.3791940650818
"6","41027","Hood River County","Oregon","POP",22445,2010,0,0,0,0,0,5507,1897,17875,39.2,15978,0,30.8083916083916
"7","41031","Jefferson County","Oregon","POP",21661,2010,0,0,0,0,0,5736,1870,18922,40.4,17052,0,30.3139203044076
"8","41037","Lake County","Oregon","POP",7875,2010,0,0,0,0,0,1503,461,6366,47.6,5905,0,23.6098020735156
"9","41045","Malheur County","Oregon","POP",31349,2010,0,0,0,0,0,7917,2891,22654,35.9,19763,0,34.9474706453606
"10","41049","Morrow County","Oregon","POP",11209,2010,0,0,0,0,0,3182,1039,8421,37.5,7382,0,37.7864861655385
"11","41055","Sherman County","Oregon","POP",1779,2010,0,0,0,0,0,337,94,1443,47.1,1349,0,23.3541233541234
"12","41063","Wallowa County","Oregon","POP",7012,2010,0,0,0,0,0,1353,333,5855,51.5,5522,0,23.1084543125534
"13","41069","Wheeler County","Oregon","POP",1447,2010,0,0,0,0,0,185,70,1147,58.1,1077,0,16.1290322580645
