"","geoid","county","state","variable","value","est_year","n_juv_pop_cou","n_mu18_jf_cou","n_fu18_jf_cou","n_u18_jf_cou","ratio","under_18_years","x18_to_24_years","x18_years_and_over","median_age","age25up","pct_u18_in_jf","pct_tpop_u18"
"1","41003","Benton County","Oregon","POP",85574,2010,68,28,39,67,0.0795,15013,21134,78040,33.2,56906,0.44627989076134,19.2375704766786
"2","41005","Clackamas County","Oregon","POP",376788,2010,110,65,33,98,0.0292,88817,30983,329370,41.6,298387,0.110339236857809,26.9657224398093
"3","41007","Clatsop County","Oregon","POP",37088,2010,50,36,0,36,0.1348,7494,3027,32730,44.7,29703,0.480384307445957,22.8964252978918
"4","41009","Columbia County","Oregon","POP",49355,2010,6,3,3,6,0.0122,10875,3746,41479,43.1,37733,0.0551724137931034,26.2180862605174
"5","41011","Coos County","Oregon","POP",63007,2010,21,18,2,20,0.0333,11782,4132,52705,48.3,48573,0.169750466813784,22.3546153116403
"6","41017","Deschutes County","Oregon","POP",157742,2010,62,38,16,54,0.0393,39132,13476,158560,42.5,145084,0.137994480220791,24.6796165489405
"7","41019","Douglas County","Oregon","POP",107631,2010,53,17,26,43,0.0492,21367,7192,89613,47.4,82421,0.201244910375813,23.8436387577695
"8","41025","Harney County","Oregon","POP",7400,2010,66,31,0,31,0.8919,1486,500,5907,45.2,5407,2.08613728129206,25.1565938716777
"9","41029","Jackson County","Oregon","POP",203341,2010,39,28,9,37,0.0192,45139,16416,175805,42.8,159389,0.0819690289993132,25.6756064958335
"10","41033","Josephine County","Oregon","POP",82879,2010,159,106,20,126,0.1918,17066,5598,70421,47.6,64823,0.7383100902379,24.2342483066131
"11","41035","Klamath County","Oregon","POP",66322,2010,24,8,15,23,0.0362,14688,5492,53550,41.8,48058,0.156590413943355,27.4285714285714
"12","41039","Lane County","Oregon","POP",351920,2010,154,77,31,108,0.0438,69515,47487,312552,39.8,265065,0.155362152053514,22.2410990811129
"13","41041","Lincoln County","Oregon","POP",45999,2010,13,6,5,11,0.0283,8224,2890,41738,52.1,38848,0.13375486381323,19.7038669797307
"14","41043","Linn County","Oregon","POP",116891,2010,90,4,50,54,0.077,28896,10027,100853,40,90826,0.18687707641196,28.6516018363361
"15","41047","Marion County","Oregon","POP",315941,2010,520,219,15,234,0.1646,84629,31080,263189,36.9,232109,0.276500963026858,32.1552192530843
"16","41051","Multnomah County","Oregon","POP",737276,2010,361,175,122,297,0.049,149668,63725,663187,37.7,599462,0.198439212122832,22.5679936428187
"17","41053","Polk County","Oregon","POP",75538,2010,32,20,11,31,0.0424,19229,10641,66856,37.4,56215,0.161214831764522,28.7618164413067
"18","41057","Tillamook County","Oregon","POP",25254,2010,87,31,3,34,0.3445,5084,1646,21952,48.5,20306,0.668764752163651,23.1596209912536
"19","41059","Umatilla County","Oregon","POP",76094,2010,16,11,4,15,0.021,19556,6869,58394,36.4,51525,0.0767028022090407,33.4897420967908
"20","41061","Union County","Oregon","POP",25731,2010,57,18,8,26,0.2215,5857,2992,20978,39.3,17986,0.443913266177224,27.9197254266374
"21","41065","Wasco County","Oregon","POP",25284,2010,20,19,1,20,0.0791,5893,1954,20789,40.8,18835,0.339385711861531,28.3467218240416
"22","41067","Washington County","Oregon","POP",531638,2010,139,92,36,128,0.0261,135155,48501,466437,37.2,417936,0.0947060782065036,28.9760460683865
"23","41071","Yamhill County","Oregon","POP",99304,2010,24,16,6,22,0.0242,23377,10792,83723,39.1,72931,0.094109594900971,27.9218374879066
